,AD1_AD2,AD3_AD4,AD5_AD6,Ct1_Ct2,Ct3_Ct4,Ct5_Ct6
ARHGEF10L,0.16666666666666666,0.2425531914893617,0.18439716312056736,0.1144578313253012,0.21570926143024619,0.14705882352941177
IGSF21,0.03125,0.00425531914893617,0.014184397163120567,0.012048192771084338,0.016412661195779603,0.010294117647058823
IFFO2,0.010416666666666666,0.02553191489361702,0.014184397163120567,0.030120481927710843,0.053927315357561546,0.013235294117647059
UBR4,0.13541666666666666,0.19574468085106383,0.06382978723404255,0.14457831325301204,0.1899179366940211,0.1588235294117647
RP1-43E13.2,0.041666666666666664,0.07659574468085106,0.028368794326241134,0.10843373493975904,0.07854630715123095,0.07205882352941176
EMC1,0.08333333333333333,0.03404255319148936,0.06382978723404255,0.030120481927710843,0.026963657678780773,0.027941176470588237
MRTO4,0.010416666666666666,0.029787234042553193,0.014184397163120567,0.012048192771084338,0.0246189917936694,0.014705882352941176
AKR7A2,0.03125,0.04680851063829787,0.0070921985815602835,0.030120481927710843,0.03634232121922626,0.027941176470588237
CAPZB,0.13541666666666666,0.15319148936170213,0.1773049645390071,0.10240963855421686,0.23563892145369286,0.15441176470588236
NBL1,0.020833333333333332,0.00425531914893617,0.0,0.030120481927710843,0.05041031652989449,0.030882352941176472
OTUD3,0.03125,0.01702127659574468,0.028368794326241134,0.03614457831325301,0.035169988276670575,0.05
CAMK2N1,0.3854166666666667,0.03829787234042553,0.14184397163120568,0.0783132530120482,0.09730363423212192,0.061764705882352944
MUL1,0.041666666666666664,0.03829787234042553,0.0425531914893617,0.024096385542168676,0.017584994138335287,0.03529411764705882
PINK1,0.020833333333333332,0.05531914893617021,0.03546099290780142,0.04819277108433735,0.04689331770222743,0.03235294117647059
DDOST,0.03125,0.03829787234042553,0.028368794326241134,0.05421686746987952,0.0492379835873388,0.04411764705882353
HP1BP3,0.3958333333333333,0.12340425531914893,0.24113475177304963,0.15060240963855423,0.18053927315357562,0.1661764705882353
EIF4G3,0.25,0.40425531914893614,0.2553191489361702,0.26506024096385544,0.5545134818288394,0.36470588235294116
ECE1,0.2604166666666667,0.30638297872340425,0.14893617021276595,0.09036144578313253,0.17116060961313012,0.0838235294117647
NBPF3,0.03125,0.08085106382978724,0.07092198581560284,0.03614457831325301,0.05744431418522861,0.039705882352941174
RAP1GAP,0.0625,0.059574468085106386,0.014184397163120567,0.018072289156626505,0.02813599062133646,0.03529411764705882
USP48,0.041666666666666664,0.08936170212765958,0.0425531914893617,0.0783132530120482,0.10785463071512309,0.06911764705882353
CDC42,0.13541666666666666,0.08936170212765958,0.07092198581560284,0.06626506024096386,0.06447831184056271,0.06764705882352941
ZBTB40,0.0,0.029787234042553193,0.028368794326241134,0.024096385542168676,0.0246189917936694,0.025
C1QA,0.0,0.00425531914893617,0.02127659574468085,0.012048192771084338,0.008206330597889801,0.0058823529411764705
C1QC,0.010416666666666666,0.0,0.0070921985815602835,0.006024096385542169,0.005861664712778429,0.007352941176470588
C1QB,0.03125,0.01276595744680851,0.028368794326241134,0.012048192771084338,0.004689331770222743,0.011764705882352941
EPHB2,0.020833333333333332,0.01276595744680851,0.028368794326241134,0.0,0.0246189917936694,0.011764705882352941
KDM1A,0.052083333333333336,0.05106382978723404,0.028368794326241134,0.060240963855421686,0.06565064478311841,0.07794117647058824
LUZP1,0.03125,0.11063829787234042,0.09929078014184398,0.04819277108433735,0.1336459554513482,0.0838235294117647
HNRNPR,0.03125,0.09787234042553192,0.03546099290780142,0.06626506024096386,0.11371629542790153,0.060294117647058824
ZNF436-AS1,0.010416666666666666,0.0425531914893617,0.02127659574468085,0.04819277108433735,0.0738569753810082,0.06911764705882353
ASAP3,0.14583333333333334,0.17872340425531916,0.09929078014184398,0.04216867469879518,0.09378663540445487,0.08529411764705883
ID3,0.3333333333333333,1.0936170212765957,0.10638297872340426,0.42771084337349397,0.4876905041031653,0.23970588235294119
RPL11,0.3229166666666667,0.12340425531914893,0.16312056737588654,0.27710843373493976,0.324736225087925,0.17647058823529413
